NumberBots,Spending,Enjoyment
3,5.67,3
8,0,2
1,7.51,8
8,2.65,4
6,2.48,3
2,0,5
6,0,7
7,0,3
0,9.7,7
1,0,9
1,0,6
3,6.76,10
1,7.33,7
3,0,8
1,0,4
3,0,1
3,0,8
0,9.12,4
0,6.47,10
3,6.6,10
3,3.28,3
8,0,4
2,5.26,8
4,0,2
3,4.4,4
0,7.26,8
1,0,7
3,0,2
6,0,5
5,0,6
0,8.24,7
3,5.92,8
6,3.7,2
0,0,6
3,0,6
1,9.05,7
4,0,4
0,3.6,3
2,4.05,7
4,0,6
2,5.62,1
3,5.17,1
7,0,5
2,8.74,6
7,0,7
2,0,3
0,0,10
0,0,7
2,0,5
1,6.7,4
9,0,1
3,6.43,7
3,3.18,2
5,3.19,6
0,9.39,8
1,9.66,5
5,0,4
3,5.93,3
2,7.57,6
8,0,2
3,0,3
0,8.96,8
1,7.2,8
3,6.84,7
3,4.15,8
2,0,6
3,0,9
3,0,5
3,0,8
1,0,3
6,0,8
1,5.96,9
7,0,4
3,0,4
3,0,2
1,5.26,9
7,2.97,1
3,0,4
1,7.5,10
2,6.95,6
8,1.97,3
1,0,4
0,0,6
3,4.64,1
3,5.48,6
5,0,6
0,5.11,6
0,9.78,6
3,3.55,3
6,0,2
0,9.13,7
8,0,7
2,9.14,8
2,0,4
9,0,7
3,0,4
3,0,8
3,6.9,7
3,2.31,7
3,0,8
6,4.04,2
4,0,6
2,0,8
2,0,8
5,0,10
5,0,5
1,0,10
0,0,8
2,0,6
1,0,9
1,0,7
2,0,7
1,0,10
3,0,7
0,6.57,6
0,9.08,7
3,0,7
3,0,10
0,0,7
0,0,4
2,0,6
4,0,5
2,5,8
3,0,8
5,0,7
0,0,5
1,9.47,9
3,6.83,7
0,7.88,7
3,0,10
6,0,5
1,7.41,3
5,0,6
8,2.64,1
5,0,4
2,0,7
1,5.31,9
0,6.38,9
3,4.93,2
4,0,7
3,5.66,4
3,0,8
3,0,7
3,4.23,10
1,7.53,10
1,6.42,10
9,0,2
3,0,1
3,0,6
3,0,9
0,0,9
3,0,9
2,3.26,10
3,4.03,2
9,0,4
0,0,3
2,0,9
3,3.11,8
3,0,6
0,2.39,8
4,7.35,8
2,4.18,3
8,0,3
3,0,10
4,7.35,8
3,4.39,2
1,7.05,10
1,7.87,2
0,0,6
3,7.32,10
7,0,6
2,0,8
3,0,8
6,0,8
3,7.33,8
2,0,5
1,0,6
0,5.55,9
3,4,5
3,0,5
3,0,3
0,6.86,8
0,9.04,9
3,2.7,4
5,0,5
0,9.21,7
9,0,3
3,0,10
1,9.65,6
1,9.41,10
2,0,6
3,4.46,7
3,0,5
1,9.78,3
3,4.24,1
1,9.31,2
8,0,3
4,0,5
1,0,2
7,0,3
0,0,2
3,0,10
0,0,8
0,0,10
0,0,10
4,4.05,7
