AbandonmentTime,Played,Spending,Enjoyment,GameTime
3.24,1,2.74,5,9.64
1.95,1,2.34,5,8.34
3.68,1,2.81,7,9.02
5.42,1,3.31,6,8.76
4.2,0,0,0,0
1.11,1,2.14,7,3.47
5,0,0,0,0
3.89,1,0,9,8.17
0.53,0,0,0,0
2.01,1,0,6,3.42
2.56,1,0,7,9.04
5.53,1,0,4,9.84
0.4,0,0,0,0
1.23,1,0,2,9.29
8.65,0,0,0,0
5.44,0,0,0,0
3.61,1,4.48,8,8.95
3.16,0,0,0,0
2.16,0,0,0,0
0.55,1,4.73,7,6.1
6.36,0,0,0,0
4.31,0,0,0,0
2.54,0,0,0,0
2.57,1,0,8,9.34
3.98,1,0,6,6.88
8.19,1,0,7,6.81
6.31,1,0,8,6.73
3.49,1,0,7,6.75
2.2,1,3.62,9,9.01
2.69,0,0,0,0
5.6,1,3.01,8,3.67
7.3,1,4.02,6,6.38
3.13,0,0,0,0
0.26,0,0,0,0
0.99,1,3.22,4,8.49
9.27,1,0,7,5.87
10.11,0,0,0,0
2.41,1,4.37,9,6.08
3.8,1,0,9,6.35
5.8,1,0,8,8.4
5.74,1,0,6,6.45
5.51,1,0,8,5.59
8.54,1,4.78,6,8.72
4.3,1,3.85,6,9.34
10.57,1,0,7,5.15
13.37,0,0,0,0
3.24,1,3.76,8,5.08
1.26,0,0,0,0
10.22,0,0,0,0
8.43,1,0,7,6.15
5.18,1,2.31,6,3.74
1.32,1,4.24,5,7.6
1.69,1,0,6,6.76
2.48,1,0,9,6.54
6.26,1,4.24,6,7.11
6.99,0,0,0,0
19.05,1,4.46,8,7.37
1.7,0,0,0,0
4.58,1,0,5,5.33
2.05,1,4.57,1,9.02
4.17,0,0,0,0
10.6,1,2.36,1,4.42
2.02,1,0,7,8.32
2.81,1,3.06,6,8.47
5.11,1,3.65,9,6.93
11.59,1,0,7,8.35
4.8,0,0,0,0
4.37,1,0,6,6.98
8.4,1,2.75,8,3.97
4.6,1,0,3,6.52
4.19,1,0,7,4.94
0.43,0,0,0,0
7.98,1,4.28,4,8.83
9.37,1,2.98,5,8.11
2.19,1,4.06,7,8.39
3.29,1,2.29,7,6.64
4.69,0,0,0,0
9.27,1,2.44,8,6.81
9.68,1,2.89,6,7.8
6.06,0,0,0,0
1.36,1,3.39,9,3.98
9.07,1,3.19,6,8.4
9.58,1,3.83,10,8.09
13.64,1,0,8,6.23
5.11,1,4,8,7.22
11.38,1,2.64,6,7.56
1.97,1,3.81,10,7.23
5.9,0,0,0,0
2.09,1,0,6,3.46
3.28,0,0,0,0
4.38,1,4.05,7,7.96
7.56,1,0,5,7.03
2.52,1,0,7,7.59
8.02,1,3.11,9,6.67
6.72,1,1.97,6,4.01
3.78,0,0,0,0
4.21,1,0,3,4.99
1.07,1,4.52,7,7.69
1.28,1,4.6,6,5.86
3.14,0,0,0,0
5.28,1,4.04,8,4.45
2.98,1,0,7,4.68
0.85,1,0,4,4.37
1.86,0,0,0,0
12.82,1,0,5,6.47
11.37,1,3.87,5,5.19
0.64,0,0,0,0
5.16,0,0,0,0
5.65,1,1.7,5,6.55
7.55,1,0,5,7.71
2.05,1,3.76,4,6.31
3.26,0,0,0,0
6.3,1,3.32,9,8.61
3.39,1,4.13,8,9.14
0.31,0,0,0,0
2.91,1,2.94,3,5.38
6.54,1,3.1,9,8.17
2.63,1,4.16,7,3.63
6.25,1,4.89,5,5.23
2.29,0,0,0,0
11.4,1,4.02,7,7.51
6.95,1,0,7,5.44
3.08,1,0,9,7.49
6.37,1,3.93,8,5.34
7.96,1,4.59,7,5.59
2.17,1,3.38,4,5.49
8.27,1,4.21,7,8.33
3.96,1,2.2,7,6.94
8.33,1,0,8,7.42
3.42,1,3.95,6,8.41
4.12,1,0,2,8.79
9.55,0,0,0,0
2.82,0,0,0,0
8.45,0,0,0,0
8.46,1,0,7,4.75
2.57,1,0,7,9.58
3.02,1,4.57,5,6.13
6.7,1,0,10,5.33
3.17,1,4.29,1,9.37
9.85,1,0,8,5.82
3.39,1,2.45,8,6.75
9.62,0,0,0,0
1.72,0,0,0,0
4.36,1,0,7,6.28
12.54,0,0,0,0
11.81,1,2.4,3,4.84
5.82,1,0,8,7.04
9.67,1,2.85,5,9.46
7.21,1,4.33,6,5.25
2.4,1,0,8,4.96
7.53,1,3.72,6,5.53
4.21,1,2.31,9,5.1
7.41,1,3.18,8,9.75
5.89,1,2.4,8,8.73
14.04,1,0,9,8.75
9.19,0,0,0,0
12.32,0,0,0,0
7.04,0,0,0,0
2.05,0,0,0,0
3.79,0,0,0,0
2.91,0,0,0,0
8.19,1,2.46,7,6.01
9.52,1,0,7,7.14
4.52,1,3.03,4,5.09
7.96,1,0,8,7.44
2.17,1,0,2,6.15
1.13,0,0,0,0
2.71,1,4.46,9,5.7
1.11,0,0,0,0
3.61,1,0,5,6.06
1.74,0,0,0,0
1.1,1,2.63,10,4.6
2.64,1,4.99,7,6.11
1.68,0,0,0,0
5.52,1,0,3,4.29
3.8,0,0,0,0
2.82,0,0,0,0
4.65,1,0,5,6.04
